Model,Run,Pathology,Validation AUC,Test AUC
densenet121,4,Nodule,0.5825314581791265,0.44140738586798484
densenet121,4,Pleural_Thickening,0.3663952627683198,0.6144688644688644
densenet121,4,Pneumonia,0.4318181818181818,0.5813802083333334
densenet121,4,Pneumothorax,0.7651515151515152,0.9502551020408163
densenet121,5,Atelectasis,0.4948580830933772,0.6142591114658154
densenet121,5,Cardiomegaly,0.8115789473684211,0.7676650189008433
densenet121,5,Consolidation,0.7171717171717171,0.7200520833333334
densenet121,5,Edema,0.792929292929293,0.5125628140703518
densenet121,5,Effusion,0.8448581560283688,0.6642105263157895
densenet121,5,Emphysema,0.5958974358974359,0.6307692307692307
densenet121,5,Fibrosis,0.45433391506689935,0.5695045695045695
densenet121,5,Hernia,,0.6142131979695431
densenet121,5,Infiltration,0.6066666666666666,0.6327345309381237
densenet121,5,Mass,0.696969696969697,0.5748697916666666
densenet121,5,Nodule,0.6358253145817913,0.4355917417854027
densenet121,5,Pleural_Thickening,0.616580310880829,0.43223443223443225
densenet121,5,Pneumonia,0.41919191919191917,0.6126302083333334
densenet121,5,Pneumothorax,0.6161616161616161,0.6798469387755102
densenet161,1,Atelectasis,0.6610448375154258,0.636073423782921
densenet161,1,Cardiomegaly,0.7042105263157894,0.7371328874672869
densenet161,1,Consolidation,0.6666666666666667,0.4095052083333333
densenet161,1,Edema,0.4974747474747475,0.4824120603015075
densenet161,1,Effusion,0.6081560283687943,0.5131578947368421
densenet161,1,Emphysema,0.6235897435897436,0.5610256410256411
densenet161,1,Fibrosis,0.4363001745200698,0.5464165464165465
densenet161,1,Hernia,,0.4923857868020304
densenet161,1,Infiltration,0.45611111111111113,0.480856468880421
densenet161,1,Mass,0.4906204906204907,0.37500000000000006
densenet161,1,Nodule,0.5247964470762398,0.4896772317534167
densenet161,1,Pleural_Thickening,0.4500370096225018,0.5970695970695972
densenet161,1,Pneumonia,0.6818181818181819,0.3912760416666667
densenet161,1,Pneumothorax,0.6515151515151515,0.552295918367347
densenet161,2,Atelectasis,0.5656108597285068,0.6546953977121575
densenet161,2,Cardiomegaly,0.7515789473684211,0.4486769409712126
densenet161,2,Consolidation,0.5126262626262627,0.5768229166666666
densenet161,2,Edema,0.5833333333333334,0.6130653266331658
densenet161,2,Effusion,0.8200354609929078,0.6252631578947369
densenet161,2,Emphysema,0.5579487179487179,0.6943589743589743
densenet161,2,Fibrosis,0.6143106457242583,0.5108225108225108
densenet161,2,Hernia,,0.48054145516074454
densenet161,2,Infiltration,0.5577777777777778,0.510252222827073
densenet161,2,Mass,0.5988455988455988,0.4869791666666667
densenet161,2,Nodule,0.4700222057735011,0.5082872928176796
densenet161,2,Pleural_Thickening,0.24204293116210215,0.5231990231990232
densenet161,2,Pneumonia,0.3308080808080808,0.7454427083333334
densenet161,2,Pneumothorax,0.9141414141414141,0.8061224489795918
densenet161,3,Atelectasis,0.5635540929658577,0.6669326948656558
densenet161,3,Cardiomegaly,0.75,0.7132887467287001
densenet161,3,Consolidation,0.904040404040404,0.6484375
densenet161,3,Edema,0.7222222222222222,0.3316582914572864
densenet161,3,Effusion,0.8102836879432624,0.7073684210526315
densenet161,3,Emphysema,0.42051282051282046,0.6851282051282052
